OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
19908,28003,110459335888,-87.91111,42.973764
19909,16614,1102968793757,-87.91202,42.973765
19910,16618,1102968793757,-87.91202,42.973765
19911,25487,110459335878,-87.91202,42.973765
19912,16615,1102968793757,-87.933991,42.973815
19913,16622,1102968793757,-87.933991,42.973815
19914,25403,110459336325,-87.933991,42.973815
19915,16615,1102968793757,-87.932727,42.973803
19916,16624,1102968793757,-87.932727,42.973803
19917,27974,110459336293,-87.932727,42.973803
19918,16617,1102968793757,-87.936451,42.973838
19919,16621,1102968793757,-87.936451,42.973838
19920,26264,110459336387,-87.936451,42.973838
19921,16620,1102968793757,-87.918129,42.973771
19922,16623,1102968793757,-87.918129,42.973771
19923,24835,1102213776708,-87.918129,42.973771
19924,16620,1102968793757,-87.917908,42.973764
19925,16631,1102968793757,-87.917908,42.973764
19926,25437,1102213776707,-87.917908,42.973764
19927,16621,1102968793757,-87.935257,42.973827
19928,16622,1102968793757,-87.935257,42.973827
19929,25412,110459336346,-87.935257,42.973827
19930,16624,1102968793757,-87.931524,42.973792
19931,16629,1102968793757,-87.931524,42.973792
19932,24789,110459336302,-87.931524,42.973792
19933,16625,1102968793757,-87.930334,42.973781
19934,16629,1102968793757,-87.930334,42.973781
19935,23838,110459336272,-87.930334,42.973781
19936,16636,1102213795757,-88.023806,42.970952
19937,16640,1102213795757,-88.023806,42.970952
19938,24480,110459338247,-88.023806,42.970952
19939,16637,1102213795757,-88.026764,42.970984
19940,16638,1102213795757,-88.026764,42.970984
19941,26892,110459338300,-88.026764,42.970984
19942,16637,1102213795757,-88.027804,42.970981
19943,23320,1102968767430,-88.027804,42.970981
19944,23327,1102968767430,-88.027804,42.970981
19945,16638,1102213795757,-88.025779,42.970946
19946,16639,1102213795757,-88.025779,42.970946
19947,24481,110459338313,-88.025779,42.970946
19948,16639,1102213795757,-88.024792,42.970949
19949,16640,1102213795757,-88.024792,42.970949
19950,24482,110459338280,-88.024792,42.970949
19951,16641,110459346871,-88.019194,42.972464
